USE,NORTH83,ID1,CORNER,EAST83,geometry
Yes,820908.992,462,BARNSTABLE-MASHPEE G,286621.658,"{'type': 'Point', 'coordinates': [-70.460414760920983, 41.633665874236847]}"
Yes,820899.772,463,BARNSTABLE-MASHPEE H,286624.549,"{'type': 'Point', 'coordinates': [-70.460381428791706, 41.633582550793939]}"
Yes,821060.8,464,BARNSTABLE-MASHPEE I,286951.497,"{'type': 'Point', 'coordinates': [-70.456434428450734, 41.634996334921063]}"
Yes,820987.865,465,BARNSTABLE-MASHPEE K,286991.982,"{'type': 'Point', 'coordinates': [-70.455959242803573, 41.634335206086341]}"
Yes,821056.997,466,BARNSTABLE-MASHPEE L WM,287195.293,"{'type': 'Point', 'coordinates': [-70.45350926862433, 41.634935141366682]}"
Yes,832164.968,468,BARNSTABLE-SANDWICH 1 WM,292446.15,"{'type': 'Point', 'coordinates': [-70.388760273420459, 41.73433998271156]}"
Yes,828859.227,469,BARNSTABLE-YARMOUTH 2 WM,303175.32,"{'type': 'Point', 'coordinates': [-70.260386032384787, 41.703248373795624]}"
Yes,828630.733,470,BARNSTABLE-YARMOUTH 3,303185.33,"{'type': 'Point', 'coordinates': [-70.260305679156502, 41.701190068309387]}"
Yes,827642.529,471,BARNSTABLE-YARMOUTH 4,303256.29,"{'type': 'Point', 'coordinates': [-70.259625907297178, 41.692284356813182]}"
Yes,822712.894,472,BARNSTABLE-YARMOUTH 5 WM,302118.938,"{'type': 'Point', 'coordinates': [-70.274137525770016, 41.64805301102092]}"
Yes,907702.275,473,BARRE-HARDWICK-PETERSHAM,141963.665,"{'type': 'Point', 'coordinates': [-72.205150419964099, 42.417678582679201]}"
Yes,901660.774,475,BARRE-HARDWICK-NEW BRAINTREE SOUTH WM,148648.418,"{'type': 'Point', 'coordinates': [-72.123396161880322, 42.363759065017092]}"
Yes,915060.744,477,BARRE-HUBBARDSTON-PHILLIPSTON,150695.634,"{'type': 'Point', 'coordinates': [-72.099687900882657, 42.484523292315501]}"
Yes,907958.84,478,BARRE-HUBBARDSTON-RUTLAND,158242.39,"{'type': 'Point', 'coordinates': [-72.007385587953209, 42.421029902062386]}"
Yes,900839.428,479,BARRE-NEW BRAINTREE-OAKHAM,149542.76,"{'type': 'Point', 'coordinates': [-72.112467864124, 42.356423153183123]}"
Yes,906071.888,480,BARRE-OAKHAM-RUTLAND,155951.164,"{'type': 'Point', 'coordinates': [-72.035081046098441, 42.403916666088485]}"
Yes,914968.586,481,BARRE-PETERSHAM-PHILLIPSTON,150592.656,"{'type': 'Point', 'coordinates': [-72.100932627571979, 42.483687116060956]}"
Yes,836222.068,482,BARRINGTON RI-EAST PROVIDENCE RI-SEEKONK,215152.763,"{'type': 'Point', 'coordinates': [-71.317743495000499, 41.776144268558184]}"
Yes,836157.217,484,BARRINGTON RI-SEEKONK-SWANSEA,215267.457,"{'type': 'Point', 'coordinates': [-71.316365693939019, 41.775558268777083]}"
Yes,834613.4,487,BARRINGTON RI-SWANSEA-WARREN RI EAST WM,218005.48,"{'type': 'Point', 'coordinates': [-71.283480404547305, 41.761600617612331]}"
Yes,834843.441,489,BARRINGTON RI-SWANSEA-WARREN RI WEST WM,217597.867,"{'type': 'Point', 'coordinates': [-71.288375234153762, 41.763681076196796]}"
Yes,890081.53,491,BECKET-BLANDFORD 1,75870.516,"{'type': 'Point', 'coordinates': [-73.004294439558649, 42.251347117413019]}"
Yes,890041.264,492,BECKET-BLANDFORD-CHESTER,76071.555,"{'type': 'Point', 'coordinates': [-73.001849997682228, 42.251016516654381]}"
Yes,888649.825,493,BECKET-BLANDFORD-OTIS,75550.34,"{'type': 'Point', 'coordinates': [-73.007867001165508, 42.238408553592066]}"
Yes,896909.189,494,BECKET-CHESTER-MIDDLEFIELD WM,76323.162,"{'type': 'Point', 'coordinates': [-73.000265226510521, 42.312878392582405]}"
