POP2000,POP1990,FOURCOLOR,COASTAL_PO,POPCH90_00,TOWN_ID,FIPS_STCO,POPCH80_90,POP2010,FIPS_MCD,POP1980,ACRES,FIPS_PLACE,TOWN,POPCH00_10,CCD_MCD,ISLAND,TYPE,SQUARE_MIL,FIPS_COUNT
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,1.87,38855,MARSHFIELD,808.0,075,1,T,0.003,23
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,0.515,60330,SCITUATE,270.0,120,1,T,0.001,23
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,0.53,60330,SCITUATE,270.0,120,1,T,0.001,23
9765.0,9279.0,2,NO,486.0,219,25023.0,71,10506.0,25023090.0,9208.0,13494.561,50145,NORWELL,741.0,090,0,T,21.085,23
15901.0,15005.0,2,NO,896.0,17,25027.0,528,16188.0,25027015.0,14477.0,10505.17,02760,AUBURN,287.0,015,0,T,16.414,27
588957.0,574283.0,1,NO,14674.0,35,25025.0,3564,617594.0,25025440.0,570719.0,0.612,07000,BOSTON,28637.0,440,0,C,0.001,25
7261.0,7075.0,1,NO,186.0,65,25021.0,-271,7542.0,25021030.0,7346.0,0.232,14640,COHASSET,281.0,030,1,T,0.0,21
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,0.505,60330,SCITUATE,270.0,120,1,T,0.001,23
53988.0,54063.0,1,NO,-75.0,336,25021.0,-210,53743.0,25021135.0,54273.0,11319.567,78865,WEYMOUTH,-245.0,135,0,TC,17.687,21
7261.0,7075.0,1,NO,186.0,65,25021.0,-271,7542.0,25021030.0,7346.0,6383.449,14640,COHASSET,281.0,030,0,T,9.974,21
26062.0,25725.0,2,NO,337.0,189,25021.0,29,27003.0,25021075.0,25696.0,1.257,41690,MILTON,941.0,075,1,T,0.002,21
11050.0,10466.0,2,NO,584.0,142,25023.0,715,10293.0,25023055.0,9751.0,0.103,31645,HULL,-757.0,055,1,T,0.0,23
11050.0,10466.0,2,NO,584.0,142,25023.0,715,10293.0,25023055.0,9751.0,0.114,31645,HULL,-757.0,055,1,T,0.0,23
19882.0,19821.0,3,NO,61.0,131,25023.0,-121,22157.0,25023050.0,19942.0,14501.927,30210,HINGHAM,2275.0,050,0,T,22.659,23
24324.0,21531.0,3,YES,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,0.78,38855,MARSHFIELD,808.0,075,0,T,0.001,23
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,2.058,38855,MARSHFIELD,808.0,075,1,T,0.003,23
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,16.687,38855,MARSHFIELD,808.0,075,1,T,0.026,23
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,2.721,38855,MARSHFIELD,808.0,075,1,T,0.004,23
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,9.214,38855,MARSHFIELD,808.0,075,1,T,0.014,23
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,7.593,38855,MARSHFIELD,808.0,075,1,T,0.012,23
1657.0,1594.0,1,NO,63.0,256,25013.0,70,1775.0,25013080.0,1524.0,11458.464,58650,RUSSELL,118.0,080,0,T,17.904,13
7261.0,7075.0,1,NO,186.0,65,25021.0,-271,7542.0,25021030.0,7346.0,0.589,14640,COHASSET,281.0,030,1,T,0.001,21
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,0.2,60330,SCITUATE,270.0,120,1,T,0.0,23
19882.0,19821.0,3,NO,61.0,131,25023.0,-121,22157.0,25023050.0,19942.0,4.804,30210,HINGHAM,2275.0,050,1,T,0.008,23
88025.0,84985.0,3,NO,3040.0,243,25021.0,1303,92271.0,25021460.0,83682.0,0.593,55745,QUINCY,4246.0,460,1,C,0.001,21
88025.0,84985.0,3,NO,3040.0,243,25021.0,1303,92271.0,25021460.0,83682.0,0.108,55745,QUINCY,4246.0,460,1,C,0.0,21
88025.0,84985.0,3,NO,3040.0,243,25021.0,1303,92271.0,25021460.0,83682.0,11067.326,55745,QUINCY,4246.0,460,0,C,17.293,21
4683.0,4708.0,2,NO,-25.0,212,25027.0,533,4680.0,25027170.0,4175.0,14046.251,46820,NORTH BROOKFIELD,-3.0,170,0,T,21.947,27
11050.0,10466.0,2,NO,584.0,142,25023.0,715,10293.0,25023055.0,9751.0,1656.183,31645,HULL,-757.0,055,0,T,2.588,23
31565.0,24146.0,1,NO,7419.0,271,25027.0,1598,35608.0,25027215.0,22548.0,13923.977,61800,SHREWSBURY,4043.0,215,0,T,21.756,27
588957.0,574283.0,1,NO,14674.0,35,25025.0,3564,617594.0,25025440.0,570719.0,0.554,07000,BOSTON,28637.0,440,1,C,0.001,25
588957.0,574283.0,1,NO,14674.0,35,25025.0,3564,617594.0,25025440.0,570719.0,0.244,07000,BOSTON,28637.0,440,1,C,0.0,25
2276.0,2408.0,1,NO,-132.0,283,25003.0,88,1947.0,25003135.0,2320.0,15155.009,67595,STOCKBRIDGE,-329.0,135,0,T,23.68,3
1416.0,1483.0,2,NO,-67.0,326,25003.0,198,1306.0,25003150.0,1285.0,11954.567,77990,WEST STOCKBRIDGE,-110.0,150,0,T,18.679,3
1468.0,1327.0,4,NO,141.0,331,25015.0,59,1607.0,25015090.0,1268.0,17509.641,76380,WESTHAMPTON,139.0,090,0,T,27.359,15
24324.0,21531.0,3,NO,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,2.632,38855,MARSHFIELD,808.0,075,1,T,0.004,23
11263.0,9576.0,3,NO,1687.0,54,25027.0,2096,12981.0,25027050.0,7480.0,28024.836,12715,CHARLTON,1718.0,050,0,T,43.789,27
8250.0,6824.0,3,NO,1426.0,290,25027.0,482,8963.0,25027245.0,6342.0,21776.331,68610,SUTTON,713.0,245,0,T,34.025,27
1345.0,1229.0,3,NO,116.0,90,25003.0,-41,1225.0,25003035.0,1270.0,12086.328,21360,EGREMONT,-120.0,035,0,T,18.885,3
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,1.84,60330,SCITUATE,270.0,120,1,T,0.003,23
53988.0,54063.0,1,NO,-75.0,336,25021.0,-210,53743.0,25021135.0,54273.0,0.188,78865,WEYMOUTH,-245.0,135,1,TC,0.0,21
19882.0,19821.0,3,NO,61.0,131,25023.0,-121,22157.0,25023050.0,19942.0,1.966,30210,HINGHAM,2275.0,050,1,T,0.003,23
19882.0,19821.0,3,NO,61.0,131,25023.0,-121,22157.0,25023050.0,19942.0,0.346,30210,HINGHAM,2275.0,050,1,T,0.001,23
88025.0,84985.0,3,NO,3040.0,243,25021.0,1303,92271.0,25021460.0,83682.0,0.275,55745,QUINCY,4246.0,460,1,C,0.0,21
26604.0,26615.0,2,NO,-11.0,317,25021.0,-43,27982.0,25021125.0,26658.0,9.347,74175,WELLESLEY,1378.0,125,0,T,0.015,21
19882.0,19821.0,3,NO,61.0,131,25023.0,-121,22157.0,25023050.0,19942.0,38.602,30210,HINGHAM,2275.0,050,1,T,0.06,23
24324.0,21531.0,3,YES,2793.0,171,25023.0,-350,25132.0,25023075.0,21881.0,4.121,38855,MARSHFIELD,808.0,075,0,T,0.006,23
1737.0,1566.0,2,NO,171.0,306,25013.0,240,1838.0,25013100.0,1326.0,10223.12,72390,WALES,101.0,100,0,T,15.974,13
94304.0,92788.0,1,YES,1516.0,44,25023.0,-310,93810.0,25023540.0,95892.0,16.364,09000,BROCKTON,-494.0,540,0,C,0.026,23
9515.0,9028.0,3,NO,487.0,123,25023.0,58,10209.0,25023045.0,8970.0,10069.083,28495,HANSON,694.0,045,0,T,15.733,23
29560.0,22095.0,2,NO,7465.0,101,25021.0,3072,31635.0,25021050.0,19023.0,17296.912,25065,FRANKLIN,2075.0,050,0,TC,27.026,21
5286.0,4010.0,3,NO,1276.0,179,25027.0,714,5839.0,25027135.0,3296.0,11511.767,40255,MENDON,553.0,135,0,T,17.987,27
10460.0,9270.0,1,NO,1190.0,208,25021.0,1778,11227.0,25021085.0,7492.0,9853.371,46050,NORFOLK,767.0,085,0,T,15.396,21
5907.0,5666.0,2,NO,241.0,138,25027.0,1711,5911.0,25027105.0,3955.0,3418.996,30945,HOPEDALE,4.0,105,0,T,5.342,27
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,18.918,60330,SCITUATE,270.0,120,1,T,0.03,23
17863.0,16786.0,4,NO,1077.0,264,25023.0,-487,18133.0,25023120.0,17273.0,286.425,60330,SCITUATE,270.0,120,0,T,0.448,23
13182.0,13371.0,1,NO,-189.0,216,25027.0,1106,15707.0,25027165.0,12265.0,11552.261,47135,NORTHBRIDGE,2525.0,165,0,T,18.05,27
7837.0,7775.0,1,NO,62.0,287,25027.0,1210,9268.0,25027240.0,6565.0,24937.965,68155,STURBRIDGE,1431.0,240,0,T,38.965,27
12448.0,9931.0,4,NO,2517.0,177,25021.0,1041,12752.0,25021065.0,8890.0,7466.683,39975,MEDWAY,304.0,065,0,T,11.667,21
3339.0,3001.0,4,NO,338.0,43,25013.0,543,3609.0,25013015.0,2458.0,22603.061,08470,BRIMFIELD,270.0,015,0,T,35.317,13
843.0,650.0,1,NO,193.0,62,25007.0,67,866.0,25007005.0,583.0,635.753,13800,CHILMARK,23.0,005,1,T,0.993,7
9520.0,6012.0,1,NO,3508.0,197,25019.0,136,10172.0,25019005.0,5876.0,1.029,43790,NANTUCKET,652.0,005,1,T,0.002,19
41303.0,38145.0,3,NO,3158.0,153,25027.0,3521,40759.0,25027100.0,34624.0,18994.065,35075,LEOMINSTER,-544.0,100,0,C,29.678,27
9520.0,6012.0,1,NO,3508.0,197,25019.0,136,10172.0,25019005.0,5876.0,1.288,43790,NANTUCKET,652.0,005,1,T,0.002,19
9520.0,6012.0,1,NO,3508.0,197,25019.0,136,10172.0,25019005.0,5876.0,0.696,43790,NANTUCKET,652.0,005,1,T,0.001,19
