TOWN,POP2000,POPCH80_90,SUM_SQUARE,SUM_ACRES,POPCH90_00,POP1980,POPCH00_10,POP1990,TOWN_ID,FOURCOLOR,POP2010,TYPE,FIPS_STCO
LUDLOW,21209.0,472,28.336,18134.848,2389.0,18348.0,-106.0,18820.0,161,4,21103.0,T,25013.0
LUNENBURG,9401.0,291,27.746,17757.762,284.0,8826.0,685.0,9117.0,162,2,10086.0,T,25027.0
LYNN,89050.0,1981,11.548,7390.936,7805.0,79264.0,1279.0,81245.0,163,3,90329.0,C,25009.0
LYNNFIELD,11542.0,83,10.443,6683.367,268.0,11191.0,54.0,11274.0,164,4,11596.0,T,25009.0
MALDEN,56340.0,280,5.069,3243.977,2456.0,53604.0,3110.0,53884.0,165,1,59450.0,C,25017.0
MANCHESTER,5228.0,-68,7.784,4982.759,-58.0,5354.0,-92.0,5286.0,166,2,5136.0,T,25009.0
MANSFIELD,22414.0,2479,20.426,13072.397,5846.0,14089.0,770.0,16568.0,167,1,23184.0,T,25005.0
MARBLEHEAD,20377.0,216,4.374,2798.917,406.0,19755.0,-569.0,19971.0,168,4,19808.0,T,25009.0
MARION,5123.0,469,14.121,9036.472,627.0,4027.0,-216.0,4496.0,169,4,4907.0,T,25023.0
MARLBOROUGH,36255.0,263,22.101,14144.598,4442.0,31550.0,2244.0,31813.0,170,3,38499.0,C,25017.0
MARSHFIELD,24324.0,-350,28.553,18274.999,2793.0,21881.0,808.0,21531.0,171,3,25132.0,T,25023.0
MASHPEE,12946.0,3193,25.601,16384.791,5062.0,4691.0,1060.0,7884.0,172,4,14006.0,T,25001.0
MATTAPOISETT,6268.0,145,17.493,11195.678,418.0,5705.0,-223.0,5850.0,173,1,6045.0,T,25023.0
MAYNARD,10433.0,503,5.368,3435.604,108.0,9822.0,-327.0,10325.0,174,4,10106.0,T,25017.0
MEDFIELD,12273.0,-33,14.655,9379.074,1742.0,10564.0,-249.0,10531.0,175,4,12024.0,T,25021.0
MEDFORD,55765.0,64,8.44821,5406.88612,-1642.0,57343.0,408.0,57407.0,176,3,56173.0,C,25017.0
MIDDLEBOROUGH,19927.0,751,72.201,46208.985,2060.0,17116.0,3189.0,17867.0,182,3,23116.0,T,25023.0
MIDDLETON,7744.0,530,14.487,9271.582,2823.0,4391.0,1243.0,4921.0,184,2,8987.0,T,25009.0
MILFORD,26799.0,1244,15.023,9614.793,1440.0,24115.0,1200.0,25359.0,185,3,27999.0,T,25027.0
MILLBURY,12784.0,545,16.444,10524.239,556.0,11683.0,477.0,12228.0,186,4,13261.0,T,25027.0
MILLIS,7902.0,612,12.263,7848.218,289.0,7001.0,-11.0,7613.0,187,3,7891.0,T,25021.0
MILLVILLE,2724.0,325,4.967,3178.706,488.0,1911.0,466.0,2236.0,188,1,3190.0,T,25027.0
MEDWAY,12448.0,1041,11.667,7466.683,2517.0,8890.0,304.0,9931.0,177,4,12752.0,T,25021.0
MELROSE,27134.0,-973,4.768,3051.404,-1016.0,29123.0,-151.0,28150.0,178,3,26983.0,C,25017.0
MENDON,5286.0,714,17.987,11511.767,1276.0,3296.0,553.0,4010.0,179,3,5839.0,T,25027.0
MERRIMAC,6138.0,433,8.894,5691.938,972.0,4733.0,200.0,5166.0,180,3,6338.0,T,25009.0
METHUEN,43789.0,1543,22.996,14717.047,3799.0,38447.0,3466.0,39990.0,181,1,47255.0,TC,25009.0
MONTAGUE,8489.0,339,31.441,20122.531,173.0,7977.0,-52.0,8316.0,192,4,8437.0,T,25011.0
MONTEREY,934.0,-120,27.404,17538.68,129.0,925.0,27.0,805.0,193,1,961.0,T,25003.0
MONTGOMERY,654.0,105,15.067,9642.865,-105.0,654.0,184.0,759.0,194,2,838.0,T,25013.0
MOUNT WASHINGTON,130.0,35,22.389,14329.344,-5.0,100.0,37.0,135.0,195,1,167.0,T,25003.0
NORTHFIELD,2951.0,490,35.372,22638.351,113.0,2348.0,81.0,2838.0,217,3,3032.0,T,25011.0
NORTON,18036.0,1109,29.312,18759.888,3771.0,13156.0,995.0,14265.0,218,3,19031.0,T,25005.0
NORWELL,9765.0,71,21.226,13584.661,486.0,9208.0,741.0,9279.0,219,2,10506.0,T,25023.0
NORWOOD,28587.0,-218,10.501,6720.501,-113.0,28918.0,15.0,28700.0,220,1,28602.0,T,25021.0
OAK BLUFFS,3713.0,590,7.406,4739.531,909.0,2214.0,814.0,2804.0,221,3,4527.0,T,25007.0
OAKHAM,1673.0,404,21.218,13579.397,170.0,1099.0,229.0,1503.0,222,4,1902.0,T,25027.0
ORANGE,7518.0,258,36.015,23049.862,206.0,7054.0,321.0,7312.0,223,4,7839.0,T,25011.0
ORLEANS,6341.0,97,14.567,9323.192,503.0,5741.0,-451.0,5838.0,224,1,5890.0,T,25001.0
OTIS,1365.0,107,38.052,24353.105,292.0,966.0,247.0,1073.0,225,4,1612.0,T,25003.0
OXFORD,13352.0,667,27.422,17550.47,794.0,11891.0,357.0,12558.0,226,1,13709.0,T,25027.0
PALMER,12497.0,298,32.002,20481.324,443.0,11756.0,-357.0,12054.0,227,3,12140.0,TC,25013.0
PAXTON,4386.0,336,15.451,9888.941,339.0,3711.0,420.0,4047.0,228,2,4806.0,T,25027.0
PEABODY,48134.0,899,16.803,10754.126,1095.0,46140.0,3117.0,47039.0,229,1,51251.0,C,25009.0
PELHAM,1403.0,67,26.549,16991.218,30.0,1306.0,-82.0,1373.0,230,3,1321.0,T,25015.0
PEMBROKE,16927.0,662,23.55,15071.89,2383.0,13882.0,910.0,14544.0,231,4,17837.0,T,25023.0
PEPPERELL,11142.0,1402,23.192,14843.158,1044.0,8696.0,355.0,10098.0,232,4,11497.0,T,25017.0
PERU,821.0,15,26.036,16663.083,42.0,764.0,26.0,779.0,233,2,847.0,T,25003.0
ROCKLAND,17670.0,647,10.119,6476.447,1547.0,15476.0,-181.0,16123.0,251,4,17489.0,T,25023.0
ROCKPORT,7767.0,879,7.018,4490.801,285.0,6603.0,-815.0,7482.0,252,4,6952.0,T,25009.0
ROWE,351.0,41,24.001,15360.94,-27.0,337.0,42.0,378.0,253,3,393.0,T,25011.0
ROWLEY,5500.0,327,18.54,11864.981,1048.0,4125.0,356.0,4452.0,254,4,5856.0,T,25009.0
ROYALSTON,1254.0,142,42.545,27229.243,107.0,1005.0,4.0,1147.0,255,2,1258.0,T,25027.0
