USE,NORTH83,ID1,CORNER,EAST83
Yes,820908.992,462,BARNSTABLE-MASHPEE G,286621.658
Yes,820899.772,463,BARNSTABLE-MASHPEE H,286624.549
Yes,821060.8,464,BARNSTABLE-MASHPEE I,286951.497
Yes,820987.865,465,BARNSTABLE-MASHPEE K,286991.982
Yes,821056.997,466,BARNSTABLE-MASHPEE L WM,287195.293
Yes,832164.968,468,BARNSTABLE-SANDWICH 1 WM,292446.15
Yes,828859.227,469,BARNSTABLE-YARMOUTH 2 WM,303175.32
Yes,828630.733,470,BARNSTABLE-YARMOUTH 3,303185.33
Yes,827642.529,471,BARNSTABLE-YARMOUTH 4,303256.29
Yes,822712.894,472,BARNSTABLE-YARMOUTH 5 WM,302118.938
Yes,907702.275,473,BARRE-HARDWICK-PETERSHAM,141963.665
Yes,901660.774,475,BARRE-HARDWICK-NEW BRAINTREE SOUTH WM,148648.418
Yes,915060.744,477,BARRE-HUBBARDSTON-PHILLIPSTON,150695.634
Yes,907958.84,478,BARRE-HUBBARDSTON-RUTLAND,158242.39
Yes,900839.428,479,BARRE-NEW BRAINTREE-OAKHAM,149542.76
Yes,906071.888,480,BARRE-OAKHAM-RUTLAND,155951.164
Yes,914968.586,481,BARRE-PETERSHAM-PHILLIPSTON,150592.656
Yes,836222.068,482,BARRINGTON RI-EAST PROVIDENCE RI-SEEKONK,215152.763
Yes,836157.217,484,BARRINGTON RI-SEEKONK-SWANSEA,215267.457
Yes,834613.4,487,BARRINGTON RI-SWANSEA-WARREN RI EAST WM,218005.48
Yes,834843.441,489,BARRINGTON RI-SWANSEA-WARREN RI WEST WM,217597.867
Yes,890081.53,491,BECKET-BLANDFORD 1,75870.516
Yes,890041.264,492,BECKET-BLANDFORD-CHESTER,76071.555
Yes,888649.825,493,BECKET-BLANDFORD-OTIS,75550.34
Yes,896909.189,494,BECKET-CHESTER-MIDDLEFIELD WM,76323.162
Yes,894236.108,495,BECKET-LEE-TYRINGHAM,63026.989
Yes,896190.04,496,BECKET-LEE-WASHINGTON,63142.746
Yes,898820.523,497,BECKET-MIDDLEFIELD 1,71190.54
Yes,898844.627,498,BECKET-MIDDLEFIELD 1 WM,71188.692
Yes,899985.911,499,BECKET-MIDDLEFIELD-WASHINGTON,71099.912
Yes,888440.862,500,BECKET-OTIS 1,73202.814
Yes,888889.617,501,BECKET-OTIS 2,73164.128
Yes,888304.173,502,BECKET-OTIS 3,68689.23
Yes,889565.009,503,BECKET-OTIS 4,68574.743
Yes,889350.251,504,BECKET-OTIS 5 WM,66248.614
Yes,890344.05,505,BECKET-OTIS 6 WM,65850.937
Yes,889906.55,506,BECKET-OTIS-TYRINGHAM,62886.881
Yes,899024.535,507,BECKET-WASHINGTON 1,63237.081
Yes,919556.281,509,BEDFORD-BILLERICA 10,217988.507
Yes,918854.482,510,BEDFORD-BILLERICA 11 WM,216145.952
Yes,918829.245,511,BEDFORD-BILLERICA 2,221359.962
Yes,918948.988,512,BEDFORD-BILLERICA 3,221233.342
Yes,918854.33,513,BEDFORD-BILLERICA 4,221152.597
Yes,919494.836,514,BEDFORD-BILLERICA 5,220529.169
Yes,919144.822,515,BEDFORD-BILLERICA 6,220166.59
Yes,919300.198,516,BEDFORD-BILLERICA 7,220015.957
Yes,919309.161,517,BEDFORD-BILLERICA 8,219365.886
Yes,919597.634,518,BEDFORD-BILLERICA 9,218231.244
Yes,917619.544,519,BEDFORD-BILLERICA-BURLINGTON OLD,222144.646
Yes,915529.626,522,BEDFORD-BURLINGTON-LEXINGTON,221300.174
Yes,916893.525,525,BEDFORD-CARLISLE-CONCORD WM,214675.682
Yes,914471.244,527,BEDFORD-CONCORD 1 WM,214698.458
Yes,913653.086,528,BEDFORD-CONCORD 10,216296.427
Yes,913698.945,529,BEDFORD-CONCORD 11,216379.015
Yes,913616.352,530,BEDFORD-CONCORD 12,216552.815
Yes,914457.662,531,BEDFORD-CONCORD 2,214695.745
Yes,914437.494,532,BEDFORD-CONCORD 3,214789.89
