USE,NORTH83,ID1,CORNER,EAST83,geometry
Yes,820908.992,462,BARNSTABLE-MASHPEE G,286621.658,Point (-70.4604147609 41.6336658742)
Yes,820899.772,463,BARNSTABLE-MASHPEE H,286624.549,Point (-70.4603814288 41.6335825508)
Yes,821060.8,464,BARNSTABLE-MASHPEE I,286951.497,Point (-70.4564344285 41.6349963349)
Yes,820987.865,465,BARNSTABLE-MASHPEE K,286991.982,Point (-70.4559592428 41.6343352061)
Yes,821056.997,466,BARNSTABLE-MASHPEE L WM,287195.293,Point (-70.4535092686 41.6349351414)
Yes,832164.968,468,BARNSTABLE-SANDWICH 1 WM,292446.15,Point (-70.3887602734 41.7343399827)
Yes,828859.227,469,BARNSTABLE-YARMOUTH 2 WM,303175.32,Point (-70.2603860324 41.7032483738)
Yes,828630.733,470,BARNSTABLE-YARMOUTH 3,303185.33,Point (-70.2603056792 41.7011900683)
Yes,827642.529,471,BARNSTABLE-YARMOUTH 4,303256.29,Point (-70.2596259073 41.6922843568)
Yes,822712.894,472,BARNSTABLE-YARMOUTH 5 WM,302118.938,Point (-70.2741375258 41.648053011)
Yes,907702.275,473,BARRE-HARDWICK-PETERSHAM,141963.665,Point (-72.20515042 42.4176785827)
Yes,901660.774,475,BARRE-HARDWICK-NEW BRAINTREE SOUTH WM,148648.418,Point (-72.1233961619 42.363759065)
Yes,915060.744,477,BARRE-HUBBARDSTON-PHILLIPSTON,150695.634,Point (-72.0996879009 42.4845232923)
Yes,907958.84,478,BARRE-HUBBARDSTON-RUTLAND,158242.39,Point (-72.007385588 42.4210299021)
Yes,900839.428,479,BARRE-NEW BRAINTREE-OAKHAM,149542.76,Point (-72.1124678641 42.3564231532)
Yes,906071.888,480,BARRE-OAKHAM-RUTLAND,155951.164,Point (-72.0350810461 42.4039166661)
Yes,914968.586,481,BARRE-PETERSHAM-PHILLIPSTON,150592.656,Point (-72.1009326276 42.4836871161)
Yes,836222.068,482,BARRINGTON RI-EAST PROVIDENCE RI-SEEKONK,215152.763,Point (-71.317743495 41.7761442686)
Yes,836157.217,484,BARRINGTON RI-SEEKONK-SWANSEA,215267.457,Point (-71.3163656939 41.7755582688)
Yes,834613.4,487,BARRINGTON RI-SWANSEA-WARREN RI EAST WM,218005.48,Point (-71.2834804045 41.7616006176)
Yes,834843.441,489,BARRINGTON RI-SWANSEA-WARREN RI WEST WM,217597.867,Point (-71.2883752342 41.7636810762)
Yes,890081.53,491,BECKET-BLANDFORD 1,75870.516,Point (-73.0042944396 42.2513471174)
Yes,890041.264,492,BECKET-BLANDFORD-CHESTER,76071.555,Point (-73.0018499977 42.2510165167)
Yes,888649.825,493,BECKET-BLANDFORD-OTIS,75550.34,Point (-73.0078670012 42.2384085536)
Yes,896909.189,494,BECKET-CHESTER-MIDDLEFIELD WM,76323.162,Point (-73.0002652265 42.3128783926)
Yes,894236.108,495,BECKET-LEE-TYRINGHAM,63026.989,Point (-73.1608847777 42.2865989971)
Yes,896190.04,496,BECKET-LEE-WASHINGTON,63142.746,Point (-73.1599424968 42.3042071799)
Yes,898820.523,497,BECKET-MIDDLEFIELD 1,71190.54,Point (-73.0629378769 42.329253457)
Yes,898844.627,498,BECKET-MIDDLEFIELD 1 WM,71188.692,Point (-73.0629655557 42.3294700856)
Yes,899985.911,499,BECKET-MIDDLEFIELD-WASHINGTON,71099.912,Point (-73.0642964952 42.3397287309)
Yes,888440.862,500,BECKET-OTIS 1,73202.814,Point (-73.0362586488 42.2361506444)
Yes,888889.617,501,BECKET-OTIS 2,73164.128,Point (-73.0368251402 42.2401838155)
Yes,888304.173,502,BECKET-OTIS 3,68689.23,Point (-73.0909012621 42.2341753669)
Yes,889565.009,503,BECKET-OTIS 4,68574.743,Point (-73.0925732288 42.2455054145)
Yes,889350.251,504,BECKET-OTIS 5 WM,66248.614,Point (-73.1207044339 42.2431779202)
Yes,890344.05,505,BECKET-OTIS 6 WM,65850.937,Point (-73.1257515678 42.2520552518)
Yes,889906.55,506,BECKET-OTIS-TYRINGHAM,62886.881,Point (-73.1615606084 42.2476029813)
Yes,899024.535,507,BECKET-WASHINGTON 1,63237.081,Point (-73.1594673158 42.3297373195)
Yes,919556.281,509,BEDFORD-BILLERICA 10,217988.507,Point (-71.28106261 42.526346704)
Yes,918854.482,510,BEDFORD-BILLERICA 11 WM,216145.952,Point (-71.3035079191 42.5200692203)
Yes,918829.245,511,BEDFORD-BILLERICA 2,221359.962,Point (-71.2400560422 42.5197164107)
Yes,918948.988,512,BEDFORD-BILLERICA 3,221233.342,Point (-71.2415925433 42.5207978196)
Yes,918854.33,513,BEDFORD-BILLERICA 4,221152.597,Point (-71.2425787327 42.5199478521)
Yes,919494.836,514,BEDFORD-BILLERICA 5,220529.169,Point (-71.2501427063 42.5257306546)
Yes,919144.822,515,BEDFORD-BILLERICA 6,220166.59,Point (-71.254567721 42.5225892091)
